Name,Qty,Price/Unit ($),Link
Esp32,1,5.21,https://www.aliexpress.us/item/3256808584827377.html?spm=a2g0o.productlist.main.1.43991a2bmL0byc&algo_pvid=aab6ed35-5c00-47da-8f11-921797a1ca8d&algo_exp_id=aab6ed35-5c00-47da-8f11-921797a1ca8d-0&pdp_ext_f=%7B%22order%22%3A%221154%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.14%212.85%21%21%2121.21%2119.28%21%4021033d1217831359894054377efc21%2112000046602507590%21sea%21US%217004005172%21X%211%210%21n_tag%3A-29919%3Bd%3A67e545d3%3Bm03_new_user%3A-29895&curPageLogUid=aZhCseKckxbb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008771142129%7C_p_origin_prod%3A
Joysticks,2,1.19,https://www.aliexpress.us/item/3256808897847272.html?spm=a2g0o.order_list.order_list_main.28.1bb61802Uf8ZEe&gatewayAdapt=glo2usa
Tactile Switches,4,2.57,https://www.aliexpress.us/item/3256804784951471.html?spm=a2g0o.productlist.main.4.9a0c4fb8wce1OG&aem_p4p_detail=20260703204025809285708755440002972460&algo_pvid=690dd0f3-ee82-40d1-9945-fac9f6cd50e6&algo_exp_id=690dd0f3-ee82-40d1-9945-fac9f6cd50e6-3&pdp_ext_f=%7B%22order%22%3A%223964%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.62%212.57%21%21%212.62%212.57%21%402103122117831364250726763ecbf0%2112000031200483143%21sea%21US%217004005172%21X%211%210%21n_tag%3A-29919%3Bd%3A67e545d3%3Bm03_new_user%3A-29895&curPageLogUid=WmdAzJaw5dfP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004971266223%7C_p_origin_prod%3A&search_p4p_id=20260703204025809285708755440002972460_1
MPU6050 breakout,1,2.71,https://www.aliexpress.us/item/3256807462344600.html?spm=a2g0o.productlist.main.1.63244922KiGyJU&algo_pvid=8265e72d-f143-4dcc-8173-12834d4ffe79&algo_exp_id=8265e72d-f143-4dcc-8173-12834d4ffe79-0&pdp_ext_f=%7B%22order%22%3A%22583%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.71%212.71%21%21%2118.30%2118.30%21%402103122117831367286912566ecbec%2112000041645887089%21sea%21US%217004005172%21X%211%210%21n_tag%3A-29919%3Bd%3A67e545d3%3Bm03_new_user%3A-29895&curPageLogUid=mx2pONRM8Hyh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007648659352%7C_p_origin_prod%3A
IR Receiver 38khz,1,1.78,https://www.aliexpress.us/item/3256807990185007.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.2817izFPizFPl4&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=083fdf62-68d3-4d5f-b136-c5f008d7431a&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A083fdf62-68d3-4d5f-b136-c5f008d7431a%2Ctpp_buckets%3A668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%22681%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.93%211.84%21%21%2113.01%2112.38%21%40210327ef17831368062333666e11e7%2112000044118964695%21rec%21US%217004005172%21X%211%210%21n_tag%3A-29919%3Bd%3A67e545d3%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008176499759%7C_p_origin_prod%3A
SSD1306,1,4.17,https://www.aliexpress.us/item/3256805954920554.html?spm=a2g0o.productlist.main.4.83af198bC3Bbkn&aem_p4p_detail=2026070320503312935497816503180002957711&algo_pvid=b2397792-65f0-4e61-a073-93db302ca01a&algo_exp_id=b2397792-65f0-4e61-a073-93db302ca01a-3&pdp_ext_f=%7B%22order%22%3A%2227695%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.74%212.74%21%21%2118.49%2118.49%21%4021032f3717831370335866153e0467%2112000035944225407%21sea%21US%217004005172%21X%211%210%21n_tag%3A-29919%3Bd%3A67e545d3%3Bm03_new_user%3A-29895&curPageLogUid=gnXG8jOLTMyR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006141235306%7C_p_origin_prod%3A&search_p4p_id=2026070320503312935497816503180002957711_1 
NRF24L01,1,1.9,https://www.aliexpress.us/item/3256808149584928.html?spm=a2g0o.productlist.main.4.13f22a0dycf8kL&aem_p4p_detail=202607032051347277186822209150002898628&algo_pvid=67cda7e6-993a-458b-99ed-950aceccdc31&algo_exp_id=67cda7e6-993a-458b-99ed-950aceccdc31-3&pdp_ext_f=%7B%22order%22%3A%22153%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.58%211.90%21%21%2137.66%2112.80%21%40210318a717831370945232208e1740%2112000045000990300%21sea%21US%217004005172%21X%211%210%21n_tag%3A-29919%3Bd%3A67e545d3%3Bm03_new_user%3A-29895&curPageLogUid=Tk2vdVdgps8I&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008335899680%7C_p_origin_prod%3A&search_p4p_id=202607032051347277186822209150002898628_1
Jumper Wires,<4269,,theyre really common
BT3x8 Self Tapping Screws,4,1.07,https://us.store.bambulab.com/products/bt3-socket-head-cap-self-tapping-screws-shcs-new?id=42382271611016
Total,,20.6,
